smile,logp
CCC(C)NC(=O)C=C(Cl)c1ccc(Cl)cc1,3.61
CSC1=NCCN1c2ncc(s2)N(=O)=O,1.78
CCCOCCN(C(=O)CCl)c1c(CC)cccc1CC,4.08
CN(C)c1cccc2c(cccc12)S(=O)(=O)N,2.01
BrCCBr,1.96
CSc1ccc(OCc2ncc(N(=O)=O)n2C)cc1,2.50
OCCNC(=O)C(F)(F)Cn1cnc(n1)N(=O)=O,-0.77
CN(C)C(=O)Nc1cc(C)cc(C)c1,1.90
Clc1ccc(cc1Cl)N(=O)=O,3.12
Clc1cccc2Oc3ccccc3Oc12,5.05
CCCOC=O,0.83
CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)O,3.21
S=C=NCc1ccccc1,3.16
CCS(=O)(=O)c1non(=O)c1C,0.65
Nc1ccc(cc1)S(=O)(=O)Nc2ccnn2c3ccccc3,1.52
Clc1ccc(Cl)nc1,2.40
CCCCC(N)C(=O)O,-1.54
c1cn[nH]c1,0.26
CCCCCCCOc1cccc(NC(=O)OCCN2CCCCC2)c1,5.97
Cc1nnc(SCC2=C(N3C(SC2)C(NC(=O)Cc4cccs4)C3=O)C(=O)O)s1,0.67
Cc1ccc(cc1)C(=S)N,2.01
COC(=O)c1ccc(cc1)S(=O)(=O)c2ccc(N)cc2,2.25
Nc1nc[nH]n1,-0.87
CN(N=O)C(=O)NCCCCC(NC(=O)C)C(=O)NCc1ccccc1,1.18
CCN(CC)C(=O)OCCc1c[nH]c2ccccc12,3.30
Cc1ncc(N(=O)=O)n1CCO,-0.02
Nc1ncnc2n(cnc12)C3OC(COP(=O)(O)O)C(O)C3O,-3.52
Clc1cc(Cl)c(Cl)c(c1)c2ccc(Cl)c(Cl)c2Cl,7.39
O=S1(=O)CCCC1,-0.77
Nc1nc(N)nc(n1)c2cc(ccc2Cl)C(F)(F)F,2.27
CCCCC1OC(=O)c2cc(N)ccc12,2.86
CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,1.94
O=N(=O)c1ccc(cc1)n2cccn2,2.25
COc1cc(C=O)ccc1OCCO,0.58
NC(Cc1ccccc1)C(=O)NC(Cc2ccccc2)C(=O)NC(Cc3ccccc3)C(=O)O,-0.02
CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c2ccccc2C(F)(F)F,2.85
CC(C)(C)C1CCN(CC1)N=O,2.54
CNc1ncnc2n(cnc12)C3OC(CO)C(O)C3O,-0.52
CC1(CCCCC1)NC(=O)Nc2ccccc2,3.60
CN(C)CCCCc1cccnc1,1.49
Nc1ncco1,-0.18
COc1ccc(cc1)C2Cc3cc(ccc3N(CCN(C)C)C(=O)C2CC(=O)C)C(F)(F)F,4.7
CC(=O)NNC(=O)Nc1cccc(C)c1,0.77
CC(C)(C)C(COc1ccc(cc1)C(C)(C)C)OC(=O)n2ccnc2,4.82
Cc1onc(c1C(=O)NC2C3SC(C)(C)C(N3C2=O)C(=O)O)c4c(Cl)cccc4Cl,2.91
CCCCCCNc1ncnc2n(cnc12)C3OC(CO)C(O)C3O,2.24
CCN(N=O)C(=O)N(C)C,0.71
CC(=O)Nc1cncc(Cl)n1,1.10
CCOCN(C(=O)CCl)c1c(C)cccc1CC,3.03
O=S1(=O)NC(=Nc2ccccc21)c3ccco3,1.06
CCC(C)C(N)C(=O)N1CCCC1C(=O)NCC(=O)NC(C(C)CC)C(=O)O,-1.69
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n2cncn2,2.77
O=C(c1ccncc1)c2ccc(cc2)N(=O)=O,1.76
Cc1ccc(cc1)C(=O)NN=Cc2c(O)c(C)ncc2CO,2.54
CCOP(=O)(C)SCCSCC,1.47
OCCCCCCn1nc2ccccc2n1,2.26
CC(C)c1ccc(OCC(OC(=O)n2ccnc2)C(C)(C)C)cc1,4.77
CN(C)S(=O)(=O)N(SC(F)(Cl)Cl)c1ccccc1,3.7
OC(CNCCOc1ccc(OCC(=O)N2CCc3ccccc3C2)cc1)COc4ccccc4,3.60
COc1ccc(c2nc3ncccc3[nH]2)c(OC)c1,2.56
CC(=O)c1cccc(O)c1,1.39
CCc1ssc(=O)c1CC,2.78
CN(C)c1ccc(C=CN(=O)=O)cc1,2.67
CN(C)C(=O)Oc1ccc(cc1)N(=O)=O,1.50
CCCCCCNC(=O)c1ccc(O)c(O)c1,2.71
CCC1(CC)C(=O)NC(=S)NC1=O,1.50
CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,1.87
CC(=O)Nc1cccc(C#N)c1,1.20
CC(C)Nc1nc(O)nc(NC(C)C)n1,3.13
Clc1cc(Cl)cc(c1)c2c(Cl)c(Cl)cc(Cl)c2Cl,7.37
NC(=O)CCCc1ccccc1,1.41
CN(C)C(=O)OCc1cccc(c1)N(C)C,2.28
N#CC(=NNc1ccc(N=Nc2ccccc2)cc1)C#N,4.25
CCOc1ccccc1NC(=O)OC,2.40
CCN(CC)C(=O)c1cccc2C(=O)N(CC)C(=O)C(=O)c12,0.78
Cc1ccc(cc1)c2ccccc2,4.63
OC1CC2CCC1C2,1.37
O=C(Cc1ccccc1)Nc2ncnc3[nH]cnc23,1.19
Clc1ccc(cc1)S(=O)(=O)NC(=O)NN2CCCCCC2,1.64
CC(=O)C=Cc1cccc(Br)c1,3.02
Cc1cccc2c1ccc3ccccc32,5.08
COc1ccc(NC2=C(C)C(=O)C3=C(C(COC(=O)N)C4(OC)C5NC5CN34)C2=O)cn1,0.59
CC(C)C(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C)C(=O)N,0.73
CCOC(=O)C(=C)C,1.94
NC(=O)c1cccc(OC(=O)CNC(=O)c2ccccc2)c1,1.20
CN(C)c1cc(Cc2cnc(N)nc2N)cc(c1)N(C)C,1.60
CCCCNc1nc(NC(C)C)nc(SC(F)F)n1,4.75
c1ccc(cc1)N(c2ccccc2)c3ccccc3,5.74
OC(CCNC1CCCCC1)COc2cccc3ccccc23,3.99
C1c2ccccc2Oc3ccccc13,4.56
C=CCNCC=C,1.11
Clc1ccc(cc1)c2c[nH]cc2N3CCOCC3,3.2
CC1(NC(=O)NC1=O)c2ccccc2,1.02
CC(C)C(=O)NC(=O)N,0.04
CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c2c(F)cccc2Cl,2.34
CCOC(=O)c1ccccc1S(=O)(=O)NC(=O)Nc2nc(Cl)cc(OC)n2,3.30
O=N(=O)C=Cc1cccs1,1.96
CCCNC(=O)CNC(=O)C=N#N,-0.24
CC(C)NC(=NC#N)NS(=O)(=O)c1cnccc1NCc2ccccc2,1.36
CC1CCCC(C)N1C(=O)COC(=O)c2ccccc2,2.90
NS(=O)(=O)c1ccc2NC(CC3CCCC3)NS(=O)(=O)c2c1,1.24
Cc1nc(N)nc(N)c1C2(CC3CC4CC(C3)C2)C4,2.64
COCCOCCOc1ccccc1OCCOCCOC,0.76
OCC(O)C(O)C(O)C(O)CO,-2.65
CC(C)NC(=NC#N)NS(=O)(=O)c1cnccc1NC2CCCCCC2,2.07
CCOC(=O)CSc1nc(nn1C(=O)N(C)C)C(C)(C)C,2.69
OC(=O)c1cc(Cl)ccc1Cl,2.82
CNC(=O)CCc1c[nH]c2ccccc12,1.23
OC(=O)c1ccc(C=O)cc1,1.76
CS(=O)(=O)c1ccccc1,0.50
COC(=O)CNC(=O)C1(O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,1.69
CCNc1nc(Cl)nc(NCC)n1,2.18
Nc1ccc2NC(=O)CN=C(c3ccccc3)c2c1,1.00
FC(F)(F)c1ccccc1C2=NCC(=O)Nc3ccc(Cl)cc23,3.19
CCc1cnccn1,0.69
CN(C)C(=O)Oc1ccccc1C,1.86
Clc1cc2oc3cc(Cl)c(Cl)cc3c2cc1Cl,6.53
Clc1cc(Cl)c(Cl)c(c1)c2cc(Cl)cc(Cl)c2Cl,7.07
CC(C)C(NC(=O)C(C)NC(=O)C)C(=O)N,-1.13
CC1(C)N=C(N)N=C(N)N1c2ccc(I)cc2,1.39
CCOC(=O)N=N(=O)c1ccccc1,2.53
CCC1(CCC(=O)NC1=O)c2ccccc2,1.90
OC(=O)c1ccc(Cl)cc1Cl,2.76
CNP(=O)(OC)Oc1ccc(Cl)cc1,1.85
O=N(=O)C=Cc1ccccc1N(=O)=O,1.80
Cc1c(O)c(=O)ccn1c2ccccc2,1.12
CC(C)C(NC(=O)C(C)NC(=O)CNC(=O)C)C(=O)N,-1.56
Cc1ccc(CO)c(C=NNC(=O)c2cccc(F)c2)c1O,3.41
O=c1[nH]nc(SCc2ccccc2)[nH]1,1.47
CCOc1ccc(cc1OCC)C(=O)O,2.37
Cc1cc(CC(=O)O)ccc1OCc2ccccc2,3.37
OC(CN1CCCCC1)Cn2ccnc2N(=O)=O,1.0
COC(=O)C,0.18
Oc1c(N=O)ccc2ccccc12,2.47
CC(=O)c1ccccc1,1.58
COC(=O)c1cnc2CCCCn2c1=O,-0.25
CN(C1CCCCC1)C(=O)c2[nH]nc(C)c2N(=O)=O,1.68
COC1C=CC=C(C)Cc2cc(OC)c(Cl)c(c2)N(C)C(=O)CC(OC(=O)C(C)N(C)C(=O)C)C3(C)OC3C(C)C4CC1(O)NC(=O)O4,1.99
CC(=O)c1ccc(cc1)S(=O)(=O)N,0.20
CCCCCCCOC(=O)C,3.46
FC(F)(F)c1nc2cc(Cl)ccc2[nH]1,3.39
COc1cc(Cl)c(Cl)cc1O,3.26
Cc1cccc(Cl)c1N=C2NCCN2,1.43
CCCN(CC)CC(F)(F)F,2.38
CCCOC(=O)C(=C1SC=CS1)C(=O)OC,2.72
CC(=O)Nc1cc(cc(c1)C(F)(F)F)C(F)(F)F,3.72
S=C1CCCCCCCN1,1.44
Oc1c(F)cc(Cn2cc[nH]c2=S)cc1F,1.08
CC1=Nc2cc(C)ccc2S(=O)(=O)N1,0.74
Nc1nccs1,0.38
COc1cc(C)n(n1)c2nc(C)cc(C)n2,1.82
COc1cccc(c1)C2CCCCC2=O,2.42
CC(C)(C)C(=O)OCOC(=O)C1=C(CSc2nncs2)CSC3C(NC(=O)Cn4cnnn4)C(=O)N31,1.45
CC(=O)Nc1ncccn1,-0.75
NC(=O)OCc1ccc(Cl)cc1,1.97
O=C(c1ccccc1)c2ccccc2,3.18
CCCCCCCBr,4.36
Brc1n[nH]c(Br)n1,2.24
CSCC1=C(N2C(SC1)C(NC(=O)Cc3cccs3)C2=O)C(=O)O,1.01
CCNP(=O)(OC)SC,0.07
CC(Oc1ccc(Cl)cc1)C(=O)O,2.31
Clc1ccccc1c2ccccc2,4.53
CN(CCO)C(=O)COC(=O)c1ccccc1O,0.86
Cc1cccc(Br)c1,3.41
Brc1ccccc1C(=O)NP(=O)(N2CC2)N3CC3,1.08
Clc1cc(Cl)c(Oc2ccc(cc2)N(=O)=O)c(Cl)c1,4.7
Fc1cn(C2CCCO2)c(=O)[nH]c1=O,-0.27
CC(=O)C=Cc1ccccc1C,2.60
CCCCNC(=O)N,0.41
NC(=N)NC(=O)Nc1cccc(c1)N(=O)=O,1.28
COc1ccccc1NC(=O)Nc2ccccc2OC,2.98
CN(N=Nc1ccc(F)cc1)C(=O)C,2.77
Clc1ccc(NN=C(C#N)C#N)cc1,3.39
Ic1cccnc1,1.80
O=N(=O)c1ccc(C=CS(=O)(=O)c2ccccc2)o1,1.88
Brc1cc2[nH]c(=O)c(=O)[nH]c2c(N(=O)=O)c1Br,0.74
Clc1ccc(Cl)c(c1Cl)c2ccccc2,5.67
CC(C)c1cc(=S)ss1,2.75
CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c2cccc(C#N)c2,2.34
CCCCNC1CCc2c(OC)cccc2C1C,3.73
COc1cncc(Cl)n1,1.65
CCCN(CCCCC(NC(=O)C)C(=O)NCc1ccccc1)C(=O)NC,1.60
CCCCCC1(CC)C(=O)NC(=O)NC1=O,2.24
COc1cccc(NC(=O)Cc2ccccc2)c1,2.86
O=CC=Cc1ccc(o1)N(=O)=O,0.97
NC(=O)c1ccoc1,0.09
OC(=O)CCCCON=C(c1ccccc1)c2cncnc2,2.65
c1ccccc1,2.13
CSc1cccc(NC(=O)C)c1,2.14
CC(O)C(C)(C)C,1.47
CCCCCOc1ccc(NC(=O)OCCN2CCOCC2)cc1,3.81
CCOC(=O)c1cc2ccc(CC)cc2nn1,2.31
COc1ccc(cc1)C(=O)N(C)C,0.96
COCc1ccc(O)c2ncccc12,1.78
COc1cccc(OCC(=O)O)c1,1.38
COc1ccc(cc1)C2Cc3cc(Sc4ccccc4)ccc3N(CCN(C)C)C(=O)C2OC(=O)C,5.8
CCCSP(=O)(OCC)Oc1cnn(c1)c2ccc(Cl)cc2,3.77
O=N(=O)c1cccnc1,0.60
Nc1ccn(C2C=C(CO)C(O)C2O)c(=O)n1,-2.36
Ic1c(ncn1CC(=O)NCc2cccnc2)N(=O)=O,0.47
Cc1cn(C2CC(N=[N+]=[N-])C(COC(=O)CCNC(=O)C3(CC4CC5CC(C4)C3)C5)O2)c(=O)[nH]c1=O,2.14
CCCc1ccc(CNc2ncnc3[nH]cnc23)cc1,3.72
NNC(=O)c1ccccc1I,0.47
CNC(=O)ON=CC(C)(C)N(=O)=O,0.36
Cc1cc[n+](CCC[n+]2ccc(C=NOCc3c(Cl)cccc3Cl)cc2)cc1,-1.3
CNC(=O)Oc1cc(C)ccc1C,2.03
C1CCc2ccccc2C1,3.49
N#CCCCCC#N,-0.32
ClC(Br)Br,2.24
CC(C)(C)C(=O)NC(CO)C(O)c1ccc(cc1)N(=O)=O,1.33
O=C(Cn1cnc(n1)N(=O)=O)N2CCOCC2,-0.96
Nc1ccc(cc1)C(=O)NN=Cc2c(O)ccc3ccccc23,3.04
Nc1ccc(Br)cc1,2.11
Clc1cccc(NN=C(C#N)C#N)c1Cl,3.85
CSc1ncc2ccccc2n1,2.50
CC(Br)C(=O)O,0.92
C1CC2CC1C=C2,3.24
CC(C)(C)C(N)C(=O)O,-1.77
COc1ccc2CCC(NC(=O)C)c3cc(=O)c(OC)ccc3-c2c1OC,1.02
COc1ccccc1N,1.18
CCc1ccccc1OCC(=O)O,2.53
Cc1cccc(C)c1,3.20
CC(C)C1(CCC2(C)O1)CC2OCc3ccccc3C,3.83
Nc1ccn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)n1,-0.64
CN(C)N=O,-0.57
COc1c(Cl)cc(Cc2cnc(N)nc2N)cc1Cl,2.78
CCCc1c2CCCCc2c(O)c3c(=O)cc(oc13)C(=O)O,4.40
Clc1ccc2OCC(NC(=O)CN3CCCCC3)c2c1,3.01
CCC(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C12,2.42
CC1=C(C#N)C(C)(C)C(=C(C)N1)C#N,2.47
CC(O)CN(CCO)c1ccc(Nn2c(C)ccc2C)nn1,1.30
CC(=O)Nc1cccnc1,0.41
COC(=O)CS(=O)c1ccc(cc1Cl)N(=O)=O,1.35
Cc1ccc(cc1)C(=N)c2ccc(C)cc2,3.71
NC(=O)c1cnc2CCCCn2c1=O,-0.38
S=C1CCCCCN1,0.75
CCC(CC)COC(=O)N(C)C,2.87
CC(C)(C)N(=O)=O,1.17
Clc1ncc(CN2CCNC2=CN(=O)=O)s1,-0.04
CNC(=O)c1nonc1C,0.56
CN1CCC(=C2c3ccccc3CCc4cccnc24)CC1,3.59
CNC1CCc2ccccc2C1,2.38
CN(C)C(=S)NCc1ccccc1,1.59
NCCCCCCCC(=O)O,-2.65
NCc1ccccc1,1.09
Brc1cccc(c1)C(=O)NP(=O)(N2CC2)N3CC3,1.43
OCC1OC(C(O)C1O)n2ccc(N=CN3CCOCC3)nc2=O,-1.66
COc1ccc(NC(=O)NNC(=O)C)cc1,0.06
CCOC(=O)CCN1C(=O)C=CC1=O,0.41
CN(C)CCc1cccnc1,0.82
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,2.85
CC1(C)C(=O)NC(=S)NC1=O,0.50
C1CNC(C1)c2cccnc2,0.17
CCCc1nnc(SC)n(N)c1=O,0.93
SC(=O)Cc1ccccc1,1.91
Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,1.60
COc1ccc(cc1)N(=O)=O,2.03
COc1ccccc1N2CCN(CCNC(=O)c3ccccc3)CC2,2.2
CCCOC(=O)C=COc1ccccc1,3.72
Cc1cc(C)c(N=C2NCCN2)c(Cl)c1,1.83
CCOC(=O)C(=Cc1ccccc1C)C(=O)OCC,3.22
CC(C)NCC(O)COc1ccc(NC(=O)C)cc1,0.79
CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(O1)C(=O)CO,2.47
Clc1ccc(Cl)cc1,3.44
C(Oc1ccccc1)c2ccccc2,3.79
CN(C)c1cccc(c1)N(=O)=O,2.16
OC(=O)c1ccccc1Nc2cccc(Cl)c2,5.57
Cc1ccc(cc1)S(=O)(=O)NC(=O)Nc2ccccc2,3.11
CNC(=O)ON=Cc1ccccc1,1.49
CN(C)C(=O)Oc1ccc(Br)cc1,2.46
OC(=O)CCCCCCCC(=O)O,1.57
CCC(C)N1C(=O)C(=O)c2ccccc2C1=O,2.15
c1ccc(cc1)c2ccccc2,4.01
CC(C)C1=Nc2cc(Cl)ccc2S(=O)(=O)N1,2.00
CCCN(CCCCC(NC(=O)C)C(=O)NCc1ccccc1)C(=O)NCC=C,1.75
COc1ccc(cc1)C2Cc3cc(OC)ccc3N(CCN(C)C)C(=O)C2OC(=O)C,3.2
CCC(=O)n1c(=O)[nH]cc(F)c1=O,0.19
CCCCCCNC(=O)NN,0.47
CCCCNc1ncnc2[nH]cnc12,2.00
CC(=O)Nc1cccc(C)c1C,1.35
COC(=O)Nc1cccc(F)c1,2.25
CN(C)CCOC(=O)c1ccc(C#N)cc1,1.43
CC(=O)C(=NNc1ccc(Cl)cc1)C#N,4.13
Nc1ccc(cc1)S(=O)(=O)c2ccc(Cl)cc2,2.57
CCc1cc(NC(=O)C)ccc1Br,3.33
NC1=NCC(CN2CCN(CC2)c3ccc(F)cc3)O1,1.0
COCCNC(=O)C(F)(F)Cn1cnc(n1)N(=O)=O,-0.15
CCC(C(c1ccc(OC)cc1)c2ccc(OC)cc2)N(=O)=O,4.45
Cc1cc(ccc1N)c2ccc(N)c(C)c2,2.34
Clc1cc(Cl)c2Oc3c(Cl)c(Cl)c(Cl)cc3Oc2c1,6.40
O=N(=O)c1cnc[nH]1,-0.01
ON=Cc1nc(no1)c2cccs2,2.47
CCCCCNc1nc(NC(C)C)nc(SC(F)F)n1,5.20
CCNc1nc(NC(C)(C)C)nc(SC)n1,3.38
Cc1cn(C2CC(N=[N+]=[N-])C(COC(=O)CCCNC(=O)C3(CC4CC5CC(C4)C3)C5)O2)c(=O)[nH]c1=O,2.47
NNC(=O)c1cccc(c1)N(=O)=O,0.23
CCOc1ccc(NC(=O)OCCCl)cc1OCC,2.62
COCc1ccccc1,1.92
Clc1ccc(cc1)c2nc3ncccc3[nH]2,2.95
COC(=O)c1nccnc1C(=O)OC,-0.02
CC(C)(C)C(COc1ccc(cc1)N(=O)=O)OC(=O)n2ccnc2,3.35
c1cc[nH]c1,0.75
CS(=O)(=O)c1cccc(c1)c2nc(N)nc(N)n2,0.29
CC(OP(=O)(C)F)C(C)(C)C,1.78
Clc1ccc(Br)cc1N=C2NCCN2,2.05
COc1ccc(cc1)C2Cc3ccccc3N(CCN(C)C)C(=O)C2C,4.5
CCNC(=S)Nc1ccccc1,1.42
CN1CCN(CCCN2c3ccccc3Sc4ccc(Cl)cc24)CC1,4.60
Cc1c(Cl)cccc1N(=O)=O,3.09
COC(=O)CCCCCC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,3.70
COC(=O)C1(CC1)S(=O)(=O)c2ccc(Br)cc2,2.32
CCCNC(=O)COC(=O)Cc1ccc2cc(OC)ccc2c1,3.10
CCNC(=O)N,-0.74
CC(=O)OC(C)(C)C1CCC2(C)CCCC(=O)C2C1,3.20
OC(=O)C(Cl)Cl,0.92
CC=C(C)C,2.67
OCC1OC(C(O)C1O)n2ccc(N=CN3CCCCC3)nc2=O,-0.66
CCCC(=O)OC(C(=O)NC1C2SCC(=C(N2C1=O)C(=O)O)C)c3ccccc3,1.89
NC1C2CCC1c3cc(ccc3C2)C(F)(F)F,3.59
FCCCc1ccccc1,2.95
CCCCc1ccc(Cn2cncn2)cc1,2.81
Cc1nsnc1C,1.28
CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C,5.70
Cc1cccc2cc[nH]c12,2.56
OCc1ccc(cc1)C(=O)O,0.93
FC(=C)F,1.24
CCOc1cc(N)ccc1C(=O)O,0.99
Cc1ccc(Br)cc1,3.42
O=C(NCCCOc1cccc(CN2CCCCC2)c1)c3ccccc3,3.97
CCN(CC)C(=O)CCC(=O)OCn1ncc2c(=O)[nH]cnc12,-0.22
C(Oc1ccccc1)c2cccc(CN3CCCC3)c2,4.05
O=CC=Cc1ccccc1,1.90
OC(=O)c1ccc(Cl)cc1N(=O)=O,2.08
Nc1c(cccc1N(=O)=O)N(=O)=O,1.79
COP(=O)(NCC(C)C)SC,0.97
O=C(Nc1cnns1)Nc2ccccc2,1.77
COC(=O)c1ccccc1N=NN(C)C,2.51
COc1cccc(c1)C2=NCC(=O)Nc3ccc(Cl)cc23,3.14
CC(C)OC(=O)CSc1ccccc1N(=O)=O,2.76
COc1cc(ccc1c2cn3ccnc(OC)c3n2)S(=O)C,1.49
COc1cc(cc(OC)c1OC)S(=O)(=O)CCO,0.18
CSC(=NOC(=O)N(C)SN(C)C(=O)C(C)C)C,2.20
CN1C(=O)NC(=O)C(CC=C)(CC=C)C1=O,1.55
COc1ccc(cc1O)c2cc(=O)c3c(O)cc(O)cc3o2,3.10
CC(=O)Nc1cc(Cl)cc(c1Br)C(F)(F)F,3.26
OCC1=CC(C(O)C1O)n2ccc(=O)[nH]c2=O,-2.19
NC(=O)Cc1ccc(cc1)C(=O)O,0.30
CCOC(=O)C1=C(C)NC(=C(C1c2cccc(Cl)c2Cl)C(=O)OC)C,4.80
NC(=O)CCc1ccncc1,-0.25
COc1ccccc1C(=O)NN,0.25
NS(=O)(=O)c1ccc(s1)S(=O)(=O)CCCO,-0.36
COc1ccc(c2nc3cc(C)ccc3[nH]2)c(OC)c1,3.78
Clc1ccc2Oc3c(Cl)cc(Cl)c(Cl)c3Oc2c1Cl,6.20
O=C(OCn1ncc2c(=O)[nH]cnc12)c3cccc(Cn4ccnc4)c3,0.97
COC1=CC(=O)CC(C)C21Oc3c(C2=O)c(OC)cc(OC)c3Cl,2.18
CCOC(=O)c1cnc2ccccn2c1=O,0.25
Cc1ncc(N(=O)=O)n1CC(O)CCl,0.60
CCc1c(C)ssc1=S,2.94
CNC(=O)N(C)C(=O)Nc1cc(ccc1F)C2CCCCC2,4.58
CN(C)N=Nc1cccc(c1)N(=O)=O,2.75
CNC(=O)OCc1c2C(CCn2c3C(=O)C=C(OC)C(=O)c13)OC(=O)C,1.19
Clc1cc(Cl)cc(c1)c2c(Cl)cc(Cl)c(Cl)c2Cl,7.10
NC(=O)c1nc[nH]c1N=NN(CCO)CCO,-1.09
CC(C)C1C(=O)NC(=O)NC1=O,-0.02
CNC(=NC#N)NCCSCc1nccs1,0.89
CCOP(=S)(OCC)SCCS(=O)CC,1.73
CCCOC(=O)C(=C1SC=CS1)C(=O)OCCC,3.93
OC(c1ccccc1)(c2cncnc2)c3ccc(Cl)cc3Cl,2.56
CCCN(CC)CCC,2.68
Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,8.27
COC(=O)Nc1cccc(c1)C(=O)C,1.63
COC(=O)C(=Cc1ccc(I)o1)N(=O)=O,3.00
CC(Nc1ncnc2[nH]cnc12)c3ccccc3,2.58
CCON=C(CC)C1=C(O)CC(CC1=O)c2cccc(Oc3ccc(Cl)c(Cl)c3)c2,6.32
CC(C)(C)C(=O)Nc1ccc2nn(nc2c1)C3CCCC3,3.40
COC(=O)Cn1ccnc1N(=O)=O,-0.14
CC(=O)C(=Cc1cccc(Cl)c1)C(=O)C,2.26
Cc1c(Sc2ccccc2)non1=O,2.63
CC(=O)Oc1cccc(Cl)c1,2.32
Cc1ccc(C=O)o1,0.67
CCCCCCC(=O)NN,0.97
CC(C)(C)N(NC(=O)c1ccc(Cl)cc1)C(=O)c2ccccc2Cl,3.51
NC(=O)CCc1ccccn1,-0.27
CCOC(=O)Cn1ccnc1N(=O)=O,0.33
CNC(=O)N(C)C(=O)Nc1cc(OC(C)C)ccc1F,3.08
O=N(=O)c1cccc2n(=O)cccc12,0.49
Fc1ccc(F)cc1,2.13
COCOC,0.18
Cc1cccc(N=C2NCCN2)c1Cl,1.83
CC1CNC(=Nc2ncc(s2)N(=O)=O)N1C,2.02
CSc1cccc(N)c1,1.45
OC(=O)c1ccc(cc1)C(=O)O,2.00
OCC(NC(=O)C(Cl)Cl)C(O)c1ccc(cc1)c2ccccc2,2.86
Oc1cc(ccc1N(=O)=O)N(=O)=O,1.75
OC(=O)Cc1ccccc1Oc2ccc(Cl)cc2Cl,3.95
CCOc1ccc2cc[nH]c2c1,2.53
CC(C)NC(=NC#N)NS(=O)(=O)c1cnccc1Nc2ccc(Cl)cc2,2.37
CC(=O)OC1C2=C(C)C(CC(O)(C(OC(=O)c3ccccc3)C4C5(COC5CC(O)C4(C)C1=O)OC(=O)C)C2(C)C)OC(=O)C(O)CNC(=O)c6ccccc6,1.75
CCCCCCCCCC1(CCC(=O)NC1=O)c2ccncc2,4.64
CC(C)c1cc(O)c(C)cc1OCCNCC2CC(=O)c3ccccc3C2=O,4.25
O=N(=O)c1ccc2n(=O)ccc(N(=O)=O)c2c1,0.90
CCc1ccccn1,1.69
CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3(F)C(O)CC21C,2.38
Clc1ccccc1c2ccccc2Cl,4.97
CC(=O)Nc1cccs1,1.10
CCCCCCN(C)N=Nc1ccc(cc1)C(=O)N,3.69
NC(CC#C)C(=O)O,-1.80
CCOc1ccc(N)cc1,1.24
CCCCc1ccc(NC(=O)C)c(Br)c1,3.39
CCOc1ccc(NC(=O)OC(C)C)cc1OCC,3.02
Clc1cccc2Oc3c(Cl)c(Cl)c(Cl)c(Cl)c3Oc12,6.30
OCC1OC(CC1O)n2cnc3c(=O)[nH]cnc23,-1.71
CC(=O)Nc1cc(C)c(O)cc1C,0.60
ClC1CCN(CC1Cl)N=O,1.04
CC(C)OC(=O)CSc1ccc(cc1Cl)N(=O)=O,3.20
CCC1COC(Cn2cncn2)(O1)c3ccc(cc3)C(=N)N,0.85
OC(=O)CCCCCON=C(c1cccc(c1)C(F)(F)F)c2cncnc2,3.65
CCC(=O)Oc1ccccc1C(=O)O,1.67
CN(C)c1ccc2c(c1)C(=O)OC2(C)C,2.42
FC(F)(F)CN(CC(F)(F)F)c1ccc(Br)cc1,4.70
CN(Cc1cnc2nc(N)nc(N)c2n1)c3c(Cl)cc(cc3Cl)C(=O)NC(CCC(=O)O)C(=O)O,-0.10
Cc1ccnc2c(O)ccc(C)c12,2.71
CC(C)(C)C(O)C(=Cc1ccc(Cl)cc1)n2cncn2,3.67
CC(=O)Nc1cc(c(F)cc1F)C(F)(F)F,2.34
CCCCC(=O)O,1.39
NS(=O)(=O)c1ccc(c(F)c1)S(=O)(=O)CCCO,-0.41
CCCCCCCCCCC,6.54
ClC(Cl)(Cl)SN1C(=O)c2ccccc2C1=O,2.85
COc1ccc2oc(nc2c1)N(N)CCC#N,0.98
Cc1ccc(C)c(C)c1C,3.98
